,name,address,category,number,website
22,전라남도 광역치매센터,전라남도 순천시 순광로 221 순천 성가롤로병원 암센터 1층,치매센터 > 광역치매센터,061-726-6980,jeonnam.nid.or.kr/home/main/main.aspx
23,경상북도 광역치매센터,경상북도 경주시 동대로 87 동국대경주병원 본관 5층,치매센터 > 광역치매센터,054-777-6400,gyeongbuk.nid.or.kr/home/main/main.aspx
24,경상남도 광역치매센터,경상남도 진주시 강남로 79. 경상대학교병원 응급센터 B1,치매센터 > 광역치매센터,055-750-9577,gyeongnam.nid.or.kr/home/main/main.aspx
25,제주특별자치도 광역치매센터,제주특별자치도 제주시 아란13길 15 제주대학교병원,치매센터 > 광역치매센터,064-717-2355,jeju.nid.or.kr/home/main/main.aspx
26,종로구 치매안심센터,"서울 종로구 평창문화로 50 (평창동, 종로구치매안심센터) 종로구치매안심센터",치매센터 > 치매안심센터,02-3675-9001,jongno.nid.or.kr
27,중구 치매안심센터,"서울 중구 퇴계로 460 (신당동, 중구구민복지관) 11층",치매센터 > 치매안심센터,02-2238-3400,junggu.nid.or.kr
28,강원도 광역치매센터,강원도 춘천시 백령로 156 강원대학교병원 암노인보건의료센터 7508호,치매센터 > 광역치매센터,033-257-9164,gangwon.nid.or.kr/home/main/main.aspx
29,성동구 치매안심센터,"서울 성동구 왕십리로5길 3 (성수동1가, 성수1가제2동 공공복합청사) 5층",치매센터 > 치매안심센터,02-499-8071,seongdong.nid.or.kr
30,광진구 치매안심센터,"서울 광진구 긴고랑로 110 (중곡동, 중곡종합건강센터) 3층 광진구치매안심센터",치매센터 > 치매안심센터,02-450-1381,gwangjin.nid.or.kr
31,동대문구 치매안심센터,"서울 동대문구 홍릉로 81 (청량리동) 홍릉문화복지센터 1,2층",치매센터 > 치매안심센터,02-957-3062,dongdaemun.nid.or.kr
32,중랑구 치매안심센터,"서울 중랑구 봉화산로 190 (신내동, 신내2동 관상복합청사) 6층",치매센터 > 치매안심센터,02-435-7540,jungnang.nid.or.kr
33,성북구 치매안심센터,"서울 성북구 화랑로 63 (하월곡동, 성북구보건소) 5층",치매센터 > 치매안심센터,02-918-2223,seongbuk.nid.or.kr
34,강북구 치매안심센터,"서울 강북구 삼양로 335-1 (수유동, 수유보건지소) 2층 강북구치매안심센터",치매센터 > 치매안심센터,02-991-9830,gangbuk.nid.or.kr
35,도봉구 치매안심센터,"서울 도봉구 마들로 650 (방학동, 도봉월드상가) 4층 도봉구치매안심센터",치매센터 > 치매안심센터,02-955-3591,dobong.nid.or.kr
36,노원구 치매안심센터,"서울 노원구 수락산로 212-20 (상계동, 마들보건지소) 4~5층",치매센터 > 치매안심센터,02-911-7778,nowon.nid.or.kr
37,은평구 치매안심센터,"서울 은평구 연서로34길 11 (불광동, 보건분소) 불광보건분소 1층",치매센터 > 치매안심센터,02-388-8233,eunpyeong.nid.or.kr
38,용산구 치매안심센터,"서울 용산구 녹사평대로 150 (이태원동, 용산구종합행정타운) 보건소 지하2층",치매센터 > 치매안심센터,02-790-1541,yongsan.nid.or.kr
39,마포구 치매안심센터,서울 마포구 대흥로24길 50 (염리동) 3층 치매안심센터,치매센터 > 치매안심센터,02-3272-1578,mapo.nid.or.kr
40,양천구 치매안심센터,"서울 양천구 남부순환로 407 (신월동) 신월보건지소 3,4층",치매센터 > 치매안심센터,02-2698-8680,yangcheon.nid.or.kr
41,강서구 치매안심센터,서울 강서구 화곡로 371 (등촌동) 3층,치매센터 > 치매안심센터,02-3663-0943,gangseo.nid.or.kr
42,구로구 치매안심센터,"서울특별시 구로구 디지털로 243, 2층(구로동, 지하이시티 2층) 213호 구로구치매안심센터",치매센터 > 치매안심센터,02-2612-7041~4,guro.nid.or.kr
43,금천구 치매안심센터,"서울 금천구 시흥대로123길 11 (독산동, 독산1동주민센터) 6층, 7 층",치매센터 > 치매안심센터,02-3281-9082,geumcheon.nid.or.kr
44,영등포구 치매안심센터,서울 영등포구 당산로29길 9 (당산동3가) 3층,치매센터 > 치매안심센터,02-831-0855,yeongdeungpo.nid.or.kr
45,동작구 치매안심센터,"서울 동작구 남부순환로 2025 (사당동, 동작구치매안심센터) 동작구치매안심센터",치매센터 > 치매안심센터,02-598-6088,dongjak.nid.or.kr
46,관악구 치매안심센터,"서울 관악구 관악로 145 (봉천동, 관악구청) 별관 3, 4층",치매센터 > 치매안심센터,02-879-4910,gwanak.nid.or.kr
47,서초구 치매안심센터,"서울 서초구 염곡말길 9 (염곡동, 내곡동종합시설) 4층",치매센터 > 치매안심센터,02-591-1833,seocho.nid.or.kr
48,서대문구 치매안심센터,"서울 서대문구 연희로 290 (홍은동, 서대문보건소별관우리들) 서대문구치매안심센터",치매센터 > 치매안심센터,02-379-0183,seodaemun.nid.or.kr
49,송파구 치매안심센터,"서울 송파구 충민로 184 (장지동, 구립송파노인요양센터) 송파구 치매안심센터(1층)",치매센터 > 치매안심센터,02-2147-5050,songpa.nid.or.kr
50,강동구 치매안심센터,"서울 강동구 성내로 45 (성내동, 강동구보건소) 별관 강동구치매안심센터",치매센터 > 치매안심센터,02-489-1130,gangdong.nid.or.kr
51,부산시 중구 치매안심센터,부산 중구 흑교로 48 (보수동1가) 중구복합건강센터 2층,치매센터 > 치매안심센터,051-600-4688,https://bsjunggu.nid.or.kr
52,부산시 서구 치매안심센터,부산 서구 구덕로 127 (토성동5가) 서구가족센터 4층,치매센터 > 치매안심센터,051-240-4912,https://bsseogu.nid.or.kr
53,부산시 동구 치매안심센터,"부산 동구 구청로 14 (수정동, 동구보훈회관) 5~6층",치매센터 > 치매안심센터,051-440-6441,https://bsdonggu.nid.or.kr
54,부산시 영도구 치매안심센터,"부산 영도구 태종로 423 (청학동, 영도구청) 영도구 보건소 신관 1층",치매센터 > 치매안심센터,051-419-4954,https://yeongdo.nid.or.kr
55,부산시 진구 치매안심센터,부산 부산진구 새싹로 253 (초읍동) 부산진구 치매안심센터,치매센터 > 치매안심센터,051-605-6107,https://busanjin.nid.or.kr
56,부산시 동래구 치매안심센터,"부산 동래구 명륜로187번길 56 (명륜동, 동래구보건소) 4층 치매안심센터",치매센터 > 치매안심센터,051-550-6707,https://dongnae.nid.or.kr
57,부산시 남구 치매안심센터,"부산 남구 수영로 155 (대연동, 부산광역시남구 치매안심센터) 1층",치매센터 > 치매안심센터,051-607-3781,https://bsnamgu.nid.or.kr
58,강남구 치매안심심센터,"서울 강남구 선릉로108길 27 (삼성동, 강남구치매지원센터) 4층, 5층",치매센터 > 치매안심센터,02-568-4203,gangnam.nid.or.kr
59,부산시 해운대구 치매안심센터,"부산 해운대구 양운로37번길 59 (좌동, 해운대구보건소) 2관 치매안심센터 3층,4층",치매센터 > 치매안심센터,051-749-0770,https://haeundae.nid.or.kr
60,부산시 사하구 치매안심센터,부산 사하구 까치고개로 50-10 (실버힐링센터 2-3층) 실버힐링센터,치매센터 > 치매안심센터,051-220-5971~5,https://saha.nid.or.kr
61,부산시 금정구 치매안심센터,"부산 금정구 중앙대로 1777 (부곡동, 금정구청) 금정구청 별관4층 치매안심센터",치매센터 > 치매안심센터,051-519-5678,https://bsgj.nid.or.kr
62,부산시 강서구 치매안심센터,"부산 강서구 낙동북로102번길 76 (강동동, 강동보건지소) 2층 치매안심센터",치매센터 > 치매안심센터,051-970-2600,https://bsgangseo.nid.or.kr
63,부산시 연제구 치매안심센터,부산 연제구 거제시장로22번길 70 (거제동) 연제구 치매안심센터,치매센터 > 치매안심센터,"051-665-5460~8,5470",https://yeonje.nid.or.kr
64,부산시 수영구 치매안심센터,"부산 수영구 수영로 637-5 (광안동, 수영구 보건소) 별관, 수영구치매안심센터",치매센터 > 치매안심센터,051-610-4901,https://suyeong.nid.or.kr
65,부산시 사상구 치매안심센터,"부산 사상구 학감대로 242 (감전동, 사상구청) 사상구 보건소 2층",치매센터 > 치매안심센터,051-310-4853,https://sasang.nid.or.kr
66,부산시 기장군 치매안심센터,"부산 기장군 정관읍 용수로 11 (용수리, 정관보건지소) 정관보건지소",치매센터 > 치매안심센터,051-709-2982,https://gijang.nid.or.kr
67,대구시 중구 치매안심센터,"대구 중구 태평로 45 (태평로3가, 중구보건소) 3층 중구치매안심센터",치매센터 > 치매안심센터,053-661-3911,dgjunggu.nid.or.kr
68,부산시 북구 치매안심센터,"부산 북구 덕천로 123 (덕천동, 덕천3동공영주차장) 행복키움센터 4층 치매안심센터",치매센터 > 치매안심센터,051-309-5281,https://bsbukgu.nid.or.kr
69,대구시 서구 치매안심센터,대구 서구 북비산로71길 7 (비산동) 서구치매안심센터,치매센터 > 치매안심센터,053-663-3811,dgs.nid.or.kr
70,대구시 남구 치매안심센터,"대구 남구 영선길 34 (대명동, 남구 보건소) 5층 치매안심센터",치매센터 > 치매안심센터,053-664-3694,namdaegu.nid.or.kr
71,대구시 북구 치매안심센터,"대구 북구 성북로 49 (침산동, 북구보건소) 5층",치매센터 > 치매안심센터,053-665-3135,bukdaegu.nid.or.kr
72,대구시 수성구 치매안심센터,"대구 수성구 수성로 213 (중동, 수성구보건소) 별관 2~3층",치매센터 > 치매안심센터,053-666-3181,suseong.nid.or.kr
73,대구시 달서구 치매안심센터,"대구 달서구 와룡로 106(본리동, 달서구 치매안심센터) 달서구치매안심센터",치매센터 > 치매안심센터,053-667-5771,dalseo.nid.or.kr
74,대구시 달성군 치매안심센터,대구 달성군 현풍읍 현풍중앙로 27 (하리) 달성군보건소 5층 달성군치매안심센터,치매센터 > 치매안심센터,053-668-3841,dalseong.nid.or.kr
75,군위군 치매안심센터,"대구 군위군 군위읍 군청로 70 (동부리, 군위군보건소) 2층 치매안심센터",치매센터 > 치매안심센터,054-380-7491,gunwi.nid.or.kr
76,인천시 중구 치매안심센터,"인천 중구 참외전로72번길 21 (전동, 중구보건소) 4층 중구치매안심센터",치매센터 > 치매안심센터,032-760-6060,icjg.nid.or.kr
77,인천시 동구 치매안심센터,인천 동구 방축로 193 (송림동) 동구치매안심센터,치매센터 > 치매안심센터,032-772-6307,icdonggu.nid.or.kr
78,대구시 동구 치매안심센터,"대구 동구 동촌로 79 (검사동, 동구보건소) 4층 치매안심센터",치매센터 > 치매안심센터,053-662-3218,dongdaegu.nid.or.kr
79,인천시 옹진군 치매안심센터,"인천 미추홀구 매소홀로 120 (용현동, 옹진군청) 옹진군보건소 3층",치매센터 > 치매안심센터,032-721-0520,ongjin.nid.or.kr
80,인천시 연수구 치매안심센터,인천 연수구 예술로20번길 15 (선학동) 연수구치매안심센터,치매센터 > 치매안심센터,032-749-8950,yeonsu.nid.or.kr
81,인천시 남동구 치매안심센터,"인천 남동구 소래로 633 (만수동, 남동구청) 남동구 보건소 3층",치매센터 > 치매안심센터,032-453-5912,namdong.nid.or.kr
82,인천시 부평구 치매안심센터,"인천 부평구 주부토로 65 (부평동, 부평4동 행정복지센터) 6층, 7층 부평구치매안심센터",치매센터 > 치매안심센터,032-509-1308,icbp.nid.or.kr
83,인천시 계양구 치매안심센터,"인천 계양구 계양문화로 63 (계산동, 계양구보건소) 계양구 보건소 4층",치매센터 > 치매안심센터,032-430-7867,gyeyang.nid.or.kr
84,인천시 서구 치매안심센터,"인천 서구 봉오재3로94번길 11 (가정동, MK타워)5층 서구치매안심센터",치매센터 > 치매안심센터,032-718-0630,seoincheon.nid.or.kr
85,인천시 강화군 치매안심센터,인천 강화군 강화읍 충렬사로 26-1 (남산리) 강화군보건소 내,치매센터 > 치매안심센터,032-930-4057,ganghwa.nid.or.kr
86,광주시 동구 치매안심센터,"광주 동구 서남로 14 (서석동, 서남동주민센터) 7층",치매센터 > 치매안심센터,062-608-3490,gjdonggu.nid.or.kr
87,광주시 서구 치매안심센터,광주 서구 상무대로884번길 17-20 (쌍촌동) .,치매센터 > 치매안심센터,062-350-4759,gjseogu.nid.or.kr
88,인천시 미추홀구 치매안심센터,인천 미추홀구 경인로34번길 20 (숭의동) 5층 미추홀구치매안심센터,치매센터 > 치매안심센터,032-728-6520,michuhol.nid.or.kr
89,광주시 북구 치매안심센터,광주광역시 북구 북문대로 234(동림동) 북구치매안심센터 2층,치매센터 > 치매안심센터,062-410-8124,gjbukgu.nid.or.kr
90,광주시 광산구 치매안심센터,광주광역시 광산구 용아로379번길 77(산정동 1033) 광산구치매안심센터,치매센터 > 치매안심센터,062-960-6930,gwangsan.nid.or.kr
91,대전광역시 동구 치매안심센터,"대전 동구 현암로 22 (삼성동) 2, 3층",치매센터 > 치매안심센터,042-621-6011,djdonggu.nid.or.kr
92,대전광역시 중구 치매안심센터,"대전 중구 중앙로 100 (대흥동, 중구청 제3별관 1층) 중구치매안심센터",치매센터 > 치매안심센터,042-288-8180,djjunggu.nid.or.kr
93,대전광역시 서구 치매안심센터,"대전 서구 둔산서로 100 (둔산동, 서구청) 서구건강체련관 3층",치매센터 > 치매안심센터,042-288-4470,djseogu.nid.or.kr
94,대전광역시 유성구 치매안심센터,대전 유성구 박산로 177 (구암동) 유성구보건소 2층,치매센터 > 치매안심센터,042-611-5018,yuseong.nid.or.kr
95,대전광역시 대덕구 치매안심센터,"대전 대덕구 동춘당로 187 (법동, 법2동행정복지센터) 3층",치매센터 > 치매안심센터,042-608-5426,daedeok.nid.or.kr
96,울산시 중구 치매안심센터,"울산 중구 외솔큰길 225 (남외동, 중구보건소) 2층",치매센터 > 치매안심센터,052-290-4366,ulsanjunggu.nid.or.kr
97,울산시 남구 치매안심센터,"울산 남구 삼산중로 132 (삼산동, 울산남구보건소) 남구보건소 별관 치매안심센터",치매센터 > 치매안심센터,052-226-2323,ulsannamgu.nid.or.kr
98,광주시 남구 치매안심센터,광주 남구 효우로 80 (노대동) 남구 치매안심센터,치매센터 > 치매안심센터,062-607-4369,gjnamgu.nid.or.kr
99,울산시 북구 치매안심센터,"울산 북구 산업로 1018 (연암동, 보건소) 지하1층, 지상1,2층 치매안심센터",치매센터 > 치매안심센터,052-241-8257,ulsanbukgu.nid.or.kr
100,울산광역시 울주군 치매안심센터,울산 울주군 웅촌면 은현작동로 49 (검단리) 울주군 치매안심센터,치매센터 > 치매안심센터,052-204-2878,ulju.nid.or.kr
101,세종시 치매안심센터,"세종특별자치시 조치원읍 대첩로 32 (신흥리, 세종특별자치시보건소) 별관2층 치매안심센터",치매센터 > 치매안심센터,044-301-2311~2318,sejongansim.nid.or.kr
102,수원시 장안구 치매안심센터,"경기 수원시 장안구 송원로 101 (조원동, 장안보건소) 1층 치매안심센터,2층치매안심센터",치매센터 > 치매안심센터,031-228-5151,jangan.nid.or.kr
103,수원시 권선구 치매안심센터,"경기 수원시 권선구 호매실로 22-50 (탑동, 권선구보건소) 권선구보건소 1층",치매센터 > 치매안심센터,031-228-6969,gwonseon.nid.or.kr
104,수원시 팔달구 치매안심센터,"경기 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소) 2층 치매안심센터",치매센터 > 치매안심센터,031-228-7794,paldal.nid.or.kr
105,수원시 영통구 치매안심센터,"경기 수원시 영통구 영통로 396 (영통동, 영통구보건소) 영통구치매안심센터 3층, 5층",치매센터 > 치매안심센터,031-228-8447,yeongtong.nid.or.kr
106,성남시 수정구 보건소치매안심센터,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소) 3층 수정구치매안심센터",치매센터 > 치매안심센터,031-729-3879,shseongnam.nid.or.kr
107,성남시 중원구 치매안심센터,"경기 성남시 중원구 금상로 137 (상대원동, 노인보건센터, 중원구보건소) 노인보건센터 4층 치매안심센터",치매센터 > 치매안심센터,031-739-3030,jhseongnam.nid.or.kr
