,hospital,address,name,content,date,visits
49,서울바른병원,서울 영등포구 여의대방로 145,isq****,의사 선생님이 친절하고 자세하게 설명해주세요 ..안심이 되는 병원이예요^^,2023년 7월 20일 목요일,1번째 방문
50,서울바른병원,서울 영등포구 여의대방로 145,ams****,진료도 친절하게 잘해주시고 안좋은 부위도 빨리 나앗어여 다음에도 또 들릴게요,2023년 7월 19일 수요일,1번째 방문
51,서울바른병원,서울 영등포구 여의대방로 145,dfeetdiskc42,무릎이 안좋아서 여러군데 다녀봤지만 여기 다니고 나서 많이 좋아졌습니다.,2023년 7월 14일 금요일,1번째 방문
52,서울바른병원,서울 영등포구 여의대방로 145,cel****,의사선생님 설명 잘해주시네요. 다른곳은 얼른 보내려고 후다닥인데 진료 잘 보고 갑니다.,2023년 7월 13일 목요일,1번째 방문
53,서울바른병원,서울 영등포구 여의대방로 145,oyu****,항상 잘 치료받고 갑니다. 받은날과 안받은날의 차이가 크네요...오늘도 만족입니다!,2023년 7월 12일 수요일,1번째 방문
54,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,어깨수술 여기서 했어요,2023년 7월 11일 화요일,19번째 방문
55,서울바른병원,서울 영등포구 여의대방로 145,ihq****,오늘도 치료 잘 받고 갑니다~정기적으로 치료받으니까 확실히 통증이 많이 좋아졌습니다!,2023년 7월 11일 화요일,1번째 방문
56,서울바른병원,서울 영등포구 여의대방로 145,usu****,오래 다닐 만한 곳이에요 시설 깔끔하구 치료 받은것도 하나도 불편한거 없었어요,2023년 7월 10일 월요일,1번째 방문
57,서울바른병원,서울 영등포구 여의대방로 145,yez****,아무리 바빠도 친절을 잃지않는 최고의 병원^^ 이런데로 다녀야한다고 생각합니다,2023년 7월 7일 금요일,1번째 방문
58,서울바른병원,서울 영등포구 여의대방로 145,mbu****,"웃으면서 친절하게 설명 잘해주시니까 거부감이 안들고, 치료도 깔끔합니다",2023년 7월 6일 목요일,1번째 방문
59,서울바른병원,서울 영등포구 여의대방로 145,edi****,새삼스럽지만 정말 잘왔다는 느낌이 듭니다 ~ 디스크치료 잘해주십니다,2023년 7월 4일 화요일,1번째 방문
60,서울바른병원,서울 영등포구 여의대방로 145,작은씨앗79,설명도 자세하고 꼼꼼히 잘 봐주세요ㆍ,2023년 7월 4일 화요일,1번째 방문
61,서울바른병원,서울 영등포구 여의대방로 145,ogu****,친절하고 좋아요 목디스크 치료 어디갈지 고민 많았는데 이쪽으로 정착해야 겠어요,2023년 7월 3일 월요일,1번째 방문
62,서울바른병원,서울 영등포구 여의대방로 145,wst****,"만성허리통증이 심해서 물리치료 꾸준히 받는 중입니다, 치료사분들 친절하시고 병원 좋아요",2023년 6월 30일 금요일,1번째 방문
63,서울바른병원,서울 영등포구 여의대방로 145,ogv****,원장님 친절하시고 시설도 깔끔해서 좋았습니다치료 꼼꼼하게 해주시네요,2023년 6월 29일 목요일,1번째 방문
64,서울바른병원,서울 영등포구 여의대방로 145,iuj****,고중량 운동하다가 허리 다쳤는데 금방 좋아져서 너무 좋습니다 ㅋ벌써 단골 됐어요 ㅎㅎㅎ,2023년 6월 28일 수요일,1번째 방문
65,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,좋아요,2023년 6월 27일 화요일,18번째 방문
66,서울바른병원,서울 영등포구 여의대방로 145,due****,오전 일찍 내원했는데 직원들 모두 친절하게 대해주시고 치료도 만족하고 돌아갑니다~,2023년 6월 23일 금요일,1번째 방문
67,서울바른병원,서울 영등포구 여의대방로 145,rea****,허리가 아파서 왔는데 원장님이 설명을 자세히 해주시고 직원분들도 친절해요.,2023년 6월 23일 금요일,1번째 방문
68,서울바른병원,서울 영등포구 여의대방로 145,wei****,간호사분들과 의사선생님 모두 친절하시고 매주마다 꼼꼼하게 봐주셔서 신뢰가 갑니다!!,2023년 6월 22일 목요일,1번째 방문
69,서울바른병원,서울 영등포구 여의대방로 145,krolluip31,허리가 아파져서 물리치료 받으러왔는데 따듯하게 치료 잘 받았습니다.,2023년 6월 22일 목요일,1번째 방문
70,서울바른병원,서울 영등포구 여의대방로 145,awb****,친절하게 세심히 설명해주셔서 너무나 만족스러웠습니다 강추합니다!,2023년 6월 22일 목요일,1번째 방문
71,서울바른병원,서울 영등포구 여의대방로 145,uvs****,체계적으로 잘 되어있는 병원 같음!설명도 친절하고 친절하게 잘 알려주셔서 괜찮았다!,2023년 6월 22일 목요일,1번째 방문
72,서울바른병원,서울 영등포구 여의대방로 145,ibo****,집에서 가깝고 매번 목이 아플때 방문하는데 처음 왔을때보다 많이 좋아졌어요,2023년 6월 21일 수요일,1번째 방문
73,서울바른병원,서울 영등포구 여의대방로 145,ssi****,"무릎아파서 진료했는데, 원장님도 간호사들도 친절하니 너무 좋았어요~아프면또올께요",2023년 6월 21일 수요일,1번째 방문
74,서울바른병원,서울 영등포구 여의대방로 145,ija****,속목이 많이 안좋았는데 물리치료받고 많이 회복됐습니다.추천드려요~,2023년 6월 21일 수요일,1번째 방문
75,서울바른병원,서울 영등포구 여의대방로 145,정현진753,목이 아파 방문했는데 진료보신 원장님도 친절하고 직원들도 친절하네요,2023년 6월 20일 화요일,1번째 방문
76,서울바른병원,서울 영등포구 여의대방로 145,ufb****,의사선생님은 과잉진료없으시고 친절하시고 너무 좋았어요,2023년 6월 20일 화요일,1번째 방문
77,서울바른병원,서울 영등포구 여의대방로 145,냠냠5310,"단한번도 예약시간에 진료받은적없음
최소30분대기
원무과도 늘 볼때마다 손님과 다투고있음
물리치료비,촬영비 타병원대비 매우 비쌈 
물치 다른병원은 몇천원인데 여긴 금액도 애매해서 자기부담금빼고 실비받아봤자 900원받음(받는치료 동일하고 더 빨리낫는것도 아님)
그렇다고 시설이 좋은것도아니고 배게 위에 깔아주는 종이 구비해놓은것조차 없어 휴지 한두장깔고 찝찝하게 누워있어야함",2023년 6월 19일 월요일,1번째 방문
78,서울바른병원,서울 영등포구 여의대방로 145,aes****,바른병원 오승목원장님 친절하고 꼼꼼하게 진료해주시네요 직원들도 친절하시고 동네에 정형와과가있어서 좋아요,2023년 6월 16일 금요일,1번째 방문
79,서울바른병원,서울 영등포구 여의대방로 145,nru****,"친절하게 치료 잘 해줍니다, 아빠가 저번에 한번 다녀오구 극찬했었는데 이유가있었네요",2023년 6월 16일 금요일,1번째 방문
80,서울바른병원,서울 영등포구 여의대방로 145,eoh****,치료해야하는 부분만 딱 집중해서 자세하게 설명해주시고 강요없는 부분 좋았습니다~,2023년 6월 14일 수요일,1번째 방문
81,서울바른병원,서울 영등포구 여의대방로 145,olz****,별5개드리고싶습니다 원장님부터 데스크앉으신 분들까지 모두 최고시라구 말씀드리구싶어요,2023년 6월 13일 화요일,1번째 방문
82,서울바른병원,서울 영등포구 여의대방로 145,nje****,디스크로 아파하시는분들 모두 여기서 치료받으셨음 하는 바램이에요 진짜 친절하세요,2023년 6월 9일 금요일,1번째 방문
83,서울바른병원,서울 영등포구 여의대방로 145,whi****,근방에서 협착증 치료 제일 잘하는곳이라고 추천받았었는데 인정합니다,2023년 6월 8일 목요일,1번째 방문
84,서울바른병원,서울 영등포구 여의대방로 145,sunny6290,"병원이 생각보다 많이 크고 환자가 많네요.
주차장 넓고 편합니다.",2023년 6월 7일 수요일,1번째 방문
85,서울바른병원,서울 영등포구 여의대방로 145,xej****,이해하기 쉽게 설명해주셔서 좋았어요 여기 다녀온 이후로 많이 좋아졌어요 ㅎㅎ,2023년 6월 5일 월요일,1번째 방문
86,서울바른병원,서울 영등포구 여의대방로 145,aid****,처음 진료 받으러 갔는데 선생님도 진료 잘 봐주시고 병원도 청결하고 좋아요,2023년 6월 2일 금요일,1번째 방문
87,서울바른병원,서울 영등포구 여의대방로 145,jlifestormp,무릎 아퍼서 찾아간 병원~원장님 친절하시고 자세히 잘 진료해주네요~,2023년 6월 1일 목요일,2번째 방문
88,서울바른병원,서울 영등포구 여의대방로 145,uue****,원장선생님. 그리고 간호사님들이 친절해서 다시가고싶은 병원입니다,2023년 5월 31일 수요일,1번째 방문
89,서울바른병원,서울 영등포구 여의대방로 145,shs****,친절해요,2023년 5월 29일 월요일,1번째 방문
90,서울바른병원,서울 영등포구 여의대방로 145,opv****,갑자기 다쳐서 놀랐었는데 안심시켜주시면서 치료해주셨어요 넘 감사해요,2023년 5월 25일 목요일,1번째 방문
91,서울바른병원,서울 영등포구 여의대방로 145,lgo****,의사선생님 간호사 분들도 정말 친절하세요 아픈데도 점점 좋아지고 있어요,2023년 5월 24일 수요일,1번째 방문
92,서울바른병원,서울 영등포구 여의대방로 145,lovelyhy,엑스레이찍는 곳 대기하는데 키 작은간호사?분 막 불친절하진 않지만 그렇다고 썩 기분은..그분빼고는빼고 친절 하세요.,2023년 5월 23일 화요일,1번째 방문
93,서울바른병원,서울 영등포구 여의대방로 145,lve****,선생님 진짜 꼼꼼하시고 잘봐주십니다.. 진심으로 봐주시는게 느껴져요 최고입니다!,2023년 5월 19일 금요일,1번째 방문
94,서울바른병원,서울 영등포구 여의대방로 145,qma****,몸 아플때 맘놓고 가 상담하고 진료받고 처방받고~~선생님의 친절 감사함에~~꾸뻑,2023년 5월 18일 목요일,1번째 방문
95,서울바른병원,서울 영등포구 여의대방로 145,ljs****,의사선생님 친절하시고 세심하게 설명도 잘해주시고 여러가지로 신경써주셔서 너무 감사해요,2023년 5월 17일 수요일,1번째 방문
96,서울바른병원,서울 영등포구 여의대방로 145,yst****,제가 갔을때 진료 기다리시는 분들 꽤 있었는데 제게도 그렇고한분한분 친절하게 대해주셔서 좋았네요!,2023년 5월 16일 화요일,1번째 방문
97,서울바른병원,서울 영등포구 여의대방로 145,kdo****,원장님 간호사님 다 너무너무 친절하셔서 기분좋게 진료받고 나왔습니다 감사합니다 :),2023년 5월 12일 금요일,1번째 방문
98,서울바른병원,서울 영등포구 여의대방로 145,mda****,어깨 안좋아서 진료 받으러 왔는데 다 엄청 친절해요가까워서 자주 방문하려 합니다.,2023년 5월 10일 수요일,1번째 방문
99,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,도수치료 꾸준히 받고 있구요 원장님 완젼 친절하십니다,2023년 5월 9일 화요일,17번째 방문
100,서울바른병원,서울 영등포구 여의대방로 145,qst****,지인이 목쪽 안좋았는데 치료받고 많이 좋아졌다고 해서 왔는데 너무 만족해서 후기 남깁니다.,2023년 5월 9일 화요일,1번째 방문
101,서울바른병원,서울 영등포구 여의대방로 145,par****,치료결과 정말만족스러움과 동시에 친절한 서비스가 가장 좋았습니다,2023년 5월 8일 월요일,1번째 방문
102,서울바른병원,서울 영등포구 여의대방로 145,ooa****,무릎이 안좋아져서 이곳 저곳 알아보다가 지인한테 추천받고 왔는데 완전 만족하고 갑니다,2023년 5월 4일 목요일,1번째 방문
103,서울바른병원,서울 영등포구 여의대방로 145,icg****,주기적으로 다니고 있는데 뭐든지 충분하게 설명해주시고 진행해주셔서 믿고 갑니당,2023년 5월 3일 수요일,1번째 방문
104,서울바른병원,서울 영등포구 여의대방로 145,ksu****,가까운데 위치하여 이용이 편리하고 병원이 깨끗하고 진료를 잘합니다.,2023년 5월 2일 화요일,1번째 방문
105,서울바른병원,서울 영등포구 여의대방로 145,tha****,친절하게 상담해주시고 질문에 대한 답도 잘 해주셔서 기분좋게 진료하고 왔습니다~~,2023년 4월 28일 금요일,1번째 방문
106,서울바른병원,서울 영등포구 여의대방로 145,y5i****,의사선생님께서 설명 친절히 잘 해주십니다! 여기 간호사분들도 친절하세요.,2023년 4월 26일 수요일,1번째 방문
107,서울바른병원,서울 영등포구 여의대방로 145,mru****,직원분들이 친절하시고 상세하게 잘 안내 받았어요. 서울바른병원 감사합니다.,2023년 4월 25일 화요일,1번째 방문
108,서울바른병원,서울 영등포구 여의대방로 145,cau****,허리가 아파서 진료 받고왔어요! 만족스럽습니다. 꼼꼼하시네요!,2023년 4월 24일 월요일,1번째 방문
109,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,"원장님 친절하세요
도수치료도 좋구요",2023년 4월 22일 토요일,16번째 방문
110,서울바른병원,서울 영등포구 여의대방로 145,dcostuyo,소문도 많이 접했었고 친구들이 많이 추천했었는데요~ 와보길잘한것같아요 굿굿,2023년 4월 21일 금요일,1번째 방문
111,서울바른병원,서울 영등포구 여의대방로 145,ell****,치료받기시작한지 한 달 넘어가는데 몸 상태가 정말 좋아지고 있습니다 ^^,2023년 4월 18일 화요일,1번째 방문
112,서울바른병원,서울 영등포구 여의대방로 145,퀸즈타운73,"외관이 깔끔해서 방문했었는데 시스템이 엉망이어서 너무 대기시간이 길었습니다. 진료 30초, 물리치료 30분받는데 3시간걸렸네요! 엑스레이찍는다고 비용만쓰고 막상 진료 내용은 인터넷에서도 찾아볼수있는 정도의 수준만 컴퓨터보고 읽어주는식. ct를 찍어야 더 자세한걸 알수있다고 하는데 그동안 상담했던거 볼때 그냥 돈만 쓸거같아서 씨티는 안찍었네요. 상담 스타일이 환자들 그냥 회전시키는 공장느낌이라 많이 실망했네요. 접수직원들은 친절했지만 나머지 의사, 간호사, 물리치료사까지 불친절해서 다시는 방문하고싶지않네요.",2023년 4월 17일 월요일,1번째 방문
113,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,친절,2023년 4월 11일 화요일,15번째 방문
114,서울바른병원,서울 영등포구 여의대방로 145,soo****,진짜 친절했어요 진료도 꼼꼼하니 모든게 다 완벽햇네요 ㅎㅎ 계속 다닐예정,2023년 4월 6일 목요일,1번째 방문
115,서울바른병원,서울 영등포구 여의대방로 145,cky****,다 잘 알려주시니까 ㅎ 안심하고 치료 받을 수 있었어요! 앞으로가 기대돼요!,2023년 4월 5일 수요일,1번째 방문
116,서울바른병원,서울 영등포구 여의대방로 145,ste****,"치료받고 있는데 원장님 ,직원분들 다 친절하시고 좋으세요 ~ 계속 다니고 싶습니다 ㅎ",2023년 4월 4일 화요일,1번째 방문
117,서울바른병원,서울 영등포구 여의대방로 145,wog****,긴장풀어주시면서 말씀도 잘해주셔서 너무만족!! 짱 친절하십니다 ^^,2023년 4월 3일 월요일,1번째 방문
118,서울바른병원,서울 영등포구 여의대방로 145,emx****,친절하게 설명해주시고 치료해주시니까 자연스럽게 기분좋아리뷰남깁니다~,2023년 3월 30일 목요일,1번째 방문
119,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,좋아요,2023년 3월 28일 화요일,14번째 방문
120,서울바른병원,서울 영등포구 여의대방로 145,fplaceringb,목 뒤쪽 아픈거 많이 나아지고 있어요~ 모든분들이 아주 친절하시구 좋아요,2023년 3월 27일 월요일,1번째 방문
121,서울바른병원,서울 영등포구 여의대방로 145,pho****,여기서 받는 진료가 넘좋아가지구요 오래오래 여기 계셔주셨으면 해요!!,2023년 3월 26일 일요일,1번째 방문
122,서울바른병원,서울 영등포구 여의대방로 145,lfi****,지금까지 가봤던 정형외과중에서 치료효과 여기가 제일 잘드는거같습니다!,2023년 3월 26일 일요일,1번째 방문
123,서울바른병원,서울 영등포구 여의대방로 145,qra****,효과가 좋습니다 의사선생님 감사합니다. 직원분들도 친절한 안내너무감사합니다.,2023년 3월 25일 토요일,1번째 방문
124,서울바른병원,서울 영등포구 여의대방로 145,눈누난나나쏴,물리치료 시간이 40분 이내로 짧아요.,2023년 3월 24일 금요일,2번째 방문
125,서울바른병원,서울 영등포구 여의대방로 145,sst****,원장님 직원분들 엄청 친절하세요진료도 자세히 잘 봐주시고 설명도 잘 해주세요,2023년 3월 23일 목요일,1번째 방문
126,서울바른병원,서울 영등포구 여의대방로 145,ett****,지인 추천으로 방문했는데 친절하게 진료봐주셔서 이해가 쏙쏙됐어요!,2023년 3월 22일 수요일,1번째 방문
127,서울바른병원,서울 영등포구 여의대방로 145,lgi****,여긴 그저 빛..!! 진심으로 감사한 병원이에요 입소문 많이났으면좋겠어요~,2023년 3월 20일 월요일,1번째 방문
128,서울바른병원,서울 영등포구 여의대방로 145,ihx****,상냥하시구 진료를 정~말 꼼꼼하게 잘 봐주셨어요 계속다니고싶은 병원,2023년 3월 17일 금요일,1번째 방문
129,서울바른병원,서울 영등포구 여의대방로 145,han****,진단 케어 모두 너무 만족했어요. 아픈 원인도 정확하게 알수있어서 좋네요.,2023년 3월 16일 목요일,1번째 방문
130,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,도수치료 샘님 치료 잘해주세요,2023년 3월 14일 화요일,13번째 방문
131,서울바른병원,서울 영등포구 여의대방로 145,mof****,자세히 잘 알려주시면서 현재 상태에 맞게 정확하게 진단해주십니다. 만족스러워요.,2023년 3월 13일 월요일,1번째 방문
132,서울바른병원,서울 영등포구 여의대방로 145,oey****,오늘 치료 잘 받고왔습니다 :) 많은분들이 찾아가시는 이유가 있네요 만족 ^^,2023년 3월 10일 금요일,2번째 방문
133,서울바른병원,서울 영등포구 여의대방로 145,눈누난나나쏴,"목 디스크 잘 본다해 갔는데
수술 권유 하셔서 좀 아쉬웠어요
물리치료는 40분 안으로 짧은 편입니다",2023년 3월 10일 금요일,1번째 방문
134,서울바른병원,서울 영등포구 여의대방로 145,hre****,정형외과 고민하다검색하고 후기보고 방문했어요 정말 만족합니다.,2023년 3월 7일 화요일,1번째 방문
135,서울바른병원,서울 영등포구 여의대방로 145,blockoo4897,과잉진료 안하고 친절해요 협착증때문에 찾는 중인데 만족스러워요,2023년 2월 28일 화요일,1번째 방문
136,서울바른병원,서울 영등포구 여의대방로 145,gla****,시설도 엄청 깔끔하고 시스템도 체계적으로 이루어져 있어서 완전 좋아요! ㅎ,2023년 2월 27일 월요일,1번째 방문
137,서울바른병원,서울 영등포구 여의대방로 145,aqt****,진작올걸그랬어요 고민한 시간이 아깝네요 ㅋㅋ 너무 좋았습니다,2023년 2월 24일 금요일,1번째 방문
138,서울바른병원,서울 영등포구 여의대방로 145,aek****,직원분들도 모두 친절하시고 좋아요 원장님 진료도 꼼꼼하고 오래 봐주십니다,2023년 2월 23일 목요일,1번째 방문
139,서울바른병원,서울 영등포구 여의대방로 145,onv****,협착증 아픈것 때문에 걷기도 힘들었는데 지금 정말 좋아진 상태입니다,2023년 2월 21일 화요일,1번째 방문
140,서울바른병원,서울 영등포구 여의대방로 145,bdadyei,꾸준히 다니니까 목디스크 완화에 아주 좋은것같습니다 추천합니다 명의세요,2023년 2월 20일 월요일,1번째 방문
141,서울바른병원,서울 영등포구 여의대방로 145,uco****,전체적으로 분위기 차분해서 좋고 진료때도 설명 차근차근해주셔서 좋았어요,2023년 2월 17일 금요일,1번째 방문
142,서울바른병원,서울 영등포구 여의대방로 145,cxo****,"다른 병원들에 비해서 여유있고
과잉진료는 확실히 없는거같아요 추천입니다",2023년 2월 14일 화요일,1번째 방문
143,서울바른병원,서울 영등포구 여의대방로 145,뿌꾸쥔장,수술후 재활중입니다,2023년 2월 11일 토요일,12번째 방문
144,서울바른병원,서울 영등포구 여의대방로 145,oyk****,디스크때문에 잠도못자고 스트레스 엄청나게 받았는데 치료받고 많이 좋아졋습니다,2023년 2월 10일 금요일,1번째 방문
145,서울바른병원,서울 영등포구 여의대방로 145,슝슝6750,친절하고 좋아요,2023년 2월 10일 금요일,1번째 방문
